question,source,category,problem_id,correct_answer,incorrect_answer,unique_id
"Using the numbers [24, 80, 30], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,74,72,4522
"Using the numbers [7, 43, 18], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,54,53,4523
"Using the numbers [57, 5, 15, 23], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,37,36,4524
"Using the numbers [25, 18, 47, 45], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,45,44,4525
"Using the numbers [24, 5, 53], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,67,66,4526
"Using the numbers [2, 75, 59], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,67,69,4527
"Using the numbers [13, 8, 60, 80], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,44,46,4528
"Using the numbers [5, 8, 55], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,58,57,4529
"Using the numbers [44, 20, 28, 90], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,70,71,4530
"Using the numbers [94, 88, 57], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,63,64,4531
"Using the numbers [90, 10, 89, 91], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,98,96,4532
"Using the numbers [47, 59, 71], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,83,84,4533
"Using the numbers [62, 30, 31], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,32,33,4534
"Using the numbers [50, 27, 1, 61], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,38,36,4535
"Using the numbers [41, 50, 4], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,36,37,4536
"Using the numbers [12, 74, 42], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,20,22,4537
"Using the numbers [58, 28, 11, 7], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,73,74,4538
"Using the numbers [77, 57, 84], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,64,66,4539
"Using the numbers [80, 6, 64, 35], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,61,60,4540
"Using the numbers [56, 38, 12], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,82,83,4541
"Using the numbers [8, 11, 57], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,60,62,4542
"Using the numbers [5, 31, 32, 39], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,18,20,4543
"Using the numbers [33, 78, 8], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,53,54,4544
"Using the numbers [56, 14, 62, 67], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,75,73,4545
"Using the numbers [2, 92, 9, 51], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,16,18,4546
"Using the numbers [71, 71, 87], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,87,89,4547
"Using the numbers [8, 66, 97, 72], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,99,101,4548
"Using the numbers [73, 98, 86, 52], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,43,41,4549
"Using the numbers [35, 19, 18, 58], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,14,13,4550
"Using the numbers [31, 30, 93], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,90,92,4551
"Using the numbers [14, 59, 52], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,21,22,4552
"Using the numbers [61, 61, 71], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,70,68,4553
"Using the numbers [88, 28, 39], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,77,76,4554
"Using the numbers [36, 31, 86, 63], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,90,88,4555
"Using the numbers [70, 24, 42], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,52,51,4556
"Using the numbers [16, 85, 83, 59], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,77,76,4557
"Using the numbers [62, 23, 21, 31], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,13,12,4558
"Using the numbers [2, 88, 92, 30], create an equation that equals __target__. You can use basic arithmetic operations (+, -, *, /) and each number can only be used once.",countdown,math,,27,25,4559
